"name","dg_rank"
"Justin Suh",362
"Jinichiro Kozuma",363
"Mahanth Chirravuri",364
"Dylan Frittelli",365
"Ian Poulter",366
"Lee Westwood",367
"Taihei Sato",368
"Joakim Lagergren",369
"Nick Gabrelcik",370
"Russell Knox",371
"Richard Sterne",372
"Jazz Janewattananond",373
"Maximilian Steinlechner",374
"Austin Hitt",375
"Hugo Townsend",376
"Curtis Luck",377
"Christo Lamprecht",378
"Travis Trace",379
"Mikumu Horikawa",380
"Tyler Duncan",381
"Zander Lombard",382
"Shad Tuten",383
"Nick Hardy",384
"Fabian Gomez",385
"Tomoyo Ikemura",386
"Joel Girrbach",387
"Trey Mullinax",388
"Sadom Kaewkanjana",389
"Camilo Villegas",390
"Austin Bautista",391
"Henrik Norlander",392
"Sam Bairstow",393
"William Sides",394
"Ashun Wu",395
"Niklas Norgaard",396
"Pablo Ereno Perez",397
"Charley Hoffman",398
"Johannes Veerman",399
"Jay Card III",400
"Jeremy Paul",401
"Yurav Premlall",402
"Jase Summy",403
"Phil Mickelson",404
"Ernie Els",405
"Tobias Jonsson",406
"Taiki Yoshida",407
"Taehoon Ok",408
"Carson Bacha",409
"Barend Botha",410
"Tapio Pulkkanen",411
"Tommy Morrison",412
"Poom Saksansin",413
"Stuart Macdonald",414
"Jinho Choi",415
"David Law",416
"Tyler Watts",417
"Jimmy Stanger",418
"Derek Hitchner",419
"Tomohiro Ishizaka",420
"Haydn Barron",421
"Ryo Katsumata",422
"Robby Shelton",423
"Luis Masaveu",424
"Will Cannon",425
"Martin Laird",426
"Junghwan Lee",427
"Henrik Stenson",428
"Marcelo Rozo",429
"Sebastian Soderberg",430
"Logan McAllister",431
"Harry Higgs",432
"Jonathan Byrd",433
"Yosuke Asaji",434
"Minhyuk Song",435
"Sean Crocker",436
"Patton Kizzire",437
"Takashi Ogiso",438
"Niklas Lemke",439
"Padraig Harrington",440
"Adam Schenk",441
"Carl Yuan",442
"Euan Walker",443
"Kyle Westmoreland",444
"Paul Chang",445
"Pedro Figueiredo",446
"Filip Jakubcik",447
"Tom Fischer",448
"Anthony Quayle",449
"Jackson Van Paris",450
"Riki Kawamoto",451
"James Piot",452
"Danny Willett",453
"Chris Francoeur",454
"Wade Ormsby",455
"Aaron Cockerill",456
"Connor Howe",457
"Pavit Tangkamolprasert",458
"Jens Dantorp",459
"Jeong Woo Ham",460
"Sampson Zheng",461
"Daniel Young",462
"Maxwell Moldovan",463
"Petr Hruby",464
"Davis Riley",465
"Andy Ogletree",466
"Hamish Brown",467
"Will Chandler",468
"Riley Lewis",469
"Yongjun Bae",470
"Bryce Lewis",471
"Phichaksn Maichon",472
"Tyler Weaver",473
"Luke List",474
