"name","dg_rank","url"
"Jake Knapp",55,"https://www.espn.com/golf/player/_/id/9843/jake-knapp"
"Michael Thorbjornsen",56,"https://www.espn.com/golf/player/_/id/4425904/michael-thorbjornsen"
"Min Woo Lee",57,"https://www.espn.com/golf/player/_/id/4410932/min-woo-lee"
"Patrick Reed",58,"https://www.espn.com/golf/player/_/id/5579/patrick-reed"
"Michael Kim",59,"https://www.espn.com/golf/player/_/id/8974/michael-kim"
"Sam Stevens",60,"https://www.espn.com/golf/player/_/id/4426181/sam-stevens"
"Wyndham Clark",61,"https://www.espn.com/golf/player/_/id/11119/wyndham-clark"
"Daniel Hillier",62,"https://www.espn.com/golf/player/_/id/4425899/daniel-hillier"
"Max McGreevy",63,"https://www.espn.com/golf/player/_/id/11383/max-mcgreevy"
"Akshay Bhatia",64,"https://www.espn.com/golf/player/_/id/4419142/akshay-bhatia"
"Pierceson Coody",65,"https://www.espn.com/golf/player/_/id/4837368/pierceson-coody"
"Nicolai Hojgaard",66,"https://www.espn.com/golf/player/_/id/11250/nicolai-h%C3%B8jgaard"
"Marco Penge",67,NA
"Lucas Glover",68,"https://www.espn.com/golf/player/_/id/676/lucas-glover"
"Rico Hoey",69,"https://www.espn.com/golf/player/_/id/11385/rico-hoey"
"Brian Harman",70,"https://www.espn.com/golf/player/_/id/1225/brian-harman"
"Jacob Bridgeman",71,NA
"Sami Valimaki",72,"https://www.espn.com/golf/player/_/id/4585548/sami-valimaki"
"Tom McKibbin",73,"https://www.espn.com/golf/player/_/id/4348444/tom-mckibbin"
"Jackson Koivun",74,NA
"Davis Thompson",75,"https://www.espn.com/golf/player/_/id/4602218/davis-thompson"
"Chris Kirk",76,"https://www.espn.com/golf/player/_/id/3449/chris-kirk"
"Matt Kuchar",77,"https://www.espn.com/golf/player/_/id/257/matt-kuchar"
"Will Zalatoris",78,"https://www.espn.com/golf/player/_/id/9877/will-zalatoris"
"Carlos Ortiz",79,NA
"Mac Meissner",80,"https://www.espn.com/golf/player/_/id/4791222/mac-meissner"
"Vince Whaley",81,"https://www.espn.com/golf/player/_/id/4408315/vince-whaley"
"Patrick Rodgers",82,"https://www.espn.com/golf/player/_/id/6825/patrick-rodgers"
"Joaquin Niemann",83,"https://www.espn.com/golf/player/_/id/11099/joaquin-niemann"
"Haotong Li",84,"https://www.espn.com/golf/player/_/id/9221/haotong-li"
"Sebastian Munoz",85,NA
"Kevin Yu",86,"https://www.espn.com/golf/player/_/id/4349547/kevin-yu"
"Kristoffer Reitan",87,NA
"Max Homa",88,"https://www.espn.com/golf/player/_/id/8973/max-homa"
"Thomas Detry",89,"https://www.espn.com/golf/player/_/id/4837/thomas-detry"
"Jordan Smith",90,"https://www.espn.com/golf/player/_/id/9506/jordan-smith"
"Johnny Keefer",91,"https://www.espn.com/golf/player/_/id/5217048/johnny-keefer"
"Matt Wallace",92,"https://www.espn.com/golf/player/_/id/10548/matt-wallace"
"Keith Mitchell",93,"https://www.espn.com/golf/player/_/id/8906/keith-mitchell"
"Alex Smalley",94,"https://www.espn.com/golf/player/_/id/9484/alex-smalley"
"Takumi Kanaya",95,"https://www.espn.com/golf/player/_/id/4410612/takumi-kanaya"
"Eric Cole",96,"https://www.espn.com/golf/player/_/id/10522/eric-cole"
"Seamus Power",97,"https://www.espn.com/golf/player/_/id/6001/seamus-power"
"Cameron Tringale",98,NA
"Billy Horschel",99,"https://www.espn.com/golf/player/_/id/1651/billy-horschel"
"Michael Brennan",100,NA
"Andrew Novak",101,"https://www.espn.com/golf/player/_/id/11332/andrew-novak"
"Bud Cauley",102,"https://www.espn.com/golf/player/_/id/5338/bud-cauley"
"Nico Echavarria",103,NA
"Sahith Theegala",104,"https://www.espn.com/golf/player/_/id/10980/sahith-theegala"
"Lee Hodges",105,"https://www.espn.com/golf/player/_/id/4404991/lee-hodges"
"Marcus Armitage",106,NA
"Emiliano Grillo",107,"https://www.espn.com/golf/player/_/id/5882/emiliano-grillo"
"Byeong Hun An",108,"https://www.espn.com/golf/player/_/id/5285/byeong-hun-an"
"Ryan Fox",109,"https://www.espn.com/golf/player/_/id/4251/ryan-fox"
"Adrien Dumont De Chassart",110,NA
"Marc Leishman",111,NA
"Ricky Castillo",112,NA
"Dan Brown",113,"https://www.espn.com/golf/player/_/id/10221/daniel-brown"
"Oliver Lindell",114,NA
"Sungjae Im",115,"https://www.espn.com/golf/player/_/id/11382/sungjae-im"
"Doug Ghim",116,"https://www.espn.com/golf/player/_/id/11456/doug-ghim"
"Abraham Ancer",117,"https://www.espn.com/golf/player/_/id/9261/abraham-ancer"
"Andrew Putnam",118,"https://www.espn.com/golf/player/_/id/5502/andrew-putnam"
"Victor Perez",119,"https://www.espn.com/golf/player/_/id/11340/victor-perez"
"Kris Ventura",120,NA
"Andy Sullivan",121,NA
"Cameron Smith",122,"https://www.espn.com/golf/player/_/id/9131/cameron-smith"
"Kevin Roy",123,NA
"Tom Kim",124,"https://www.espn.com/golf/player/_/id/4602673/tom-kim"
"Bubba Watson",125,NA
"Trent Phillips",126,NA
"Thomas Pieters",127,NA
"Louis Oosthuizen",128,"https://www.espn.com/golf/player/_/id/1293/louis-oosthuizen"
"Matti Schmid",129,NA
"Wenyi Ding",130,NA
"Branden Grace",131,NA
"S.H. Kim",132,NA
"Charles Howell III",133,NA
"Chandler Blanchet",134,NA
"Austin Eckroat",135,"https://www.espn.com/golf/player/_/id/4425898/austin-eckroat"
"Gary Woodland",136,"https://www.espn.com/golf/player/_/id/3550/gary-woodland"
"Paul Casey",137,NA
"Charl Schwartzel",138,NA
"Julien Guerrier",139,"https://www.espn.com/golf/player/_/id/1694/julien-guerrier"
"William Mouw",140,"https://www.espn.com/golf/player/_/id/5076025/william-mouw"
"Chandler Phillips",141,"https://www.espn.com/golf/player/_/id/4587989/chandler-phillips"
"Sergio Garcia",142,"https://www.espn.com/golf/player/_/id/158/sergio-garcia"
"Talor Gooch",143,NA
"Joost Luiten",144,NA
"Stephan Jaeger",145,"https://www.espn.com/golf/player/_/id/6937/stephan-jaeger"
"Mackenzie Hughes",146,"https://www.espn.com/golf/player/_/id/6931/mackenzie-hughes"
"Ewen Ferguson",147,"https://www.espn.com/golf/player/_/id/10838/ewen-ferguson"
"Patrick Fishburn",148,"https://www.espn.com/golf/player/_/id/4358083/patrick-fishburn"
"Dylan Wu",149,NA
"Jhonattan Vegas",150,"https://www.espn.com/golf/player/_/id/1030/jhonattan-vegas"
"Steven Fisk",151,"https://www.espn.com/golf/player/_/id/4426182/steven-fisk"
"Beau Hossler",152,"https://www.espn.com/golf/player/_/id/6011/beau-hossler"
"Dean Burmester",153,"https://www.espn.com/golf/player/_/id/5830/dean-burmester"
"Ben Kohles",154,"https://www.espn.com/golf/player/_/id/6922/ben-kohles"
"Webb Simpson",155,NA
"Austin Smotherman",156,NA
"Keita Nakajima",157,"https://www.espn.com/golf/player/_/id/4699418/keita-nakajima"
"Laurie Canter",158,"https://www.espn.com/golf/player/_/id/5550/laurie-canter"
"Thomas Rosenmueller",159,NA
"Tom Hoge",160,"https://www.espn.com/golf/player/_/id/6086/tom-hoge"
"Zac Blair",161,"https://www.espn.com/golf/player/_/id/9040/zac-blair"
"Brooks Koepka",162,"https://www.espn.com/golf/player/_/id/6798/brooks-koepka"
"Adrien Saddier",163,NA
"Jose Luis Ballester",164,NA
"Jorge Campillo",165,"https://www.espn.com/golf/player/_/id/4691/jorge-campillo"
"Sam Ryder",166,"https://www.espn.com/golf/player/_/id/7001/sam-ryder"
"Zecheng Dou",167,NA
"Chad Ramey",168,NA
"Mark Hubbard",169,"https://www.espn.com/golf/player/_/id/9143/mark-hubbard"
"Thriston Lawrence",170,"https://www.espn.com/golf/player/_/id/9240/thriston-lawrence"
"Hayden Springer",171,"https://www.espn.com/golf/player/_/id/10562/hayden-springer"
"Lucas Herbert",172,"https://www.espn.com/golf/player/_/id/10343/lucas-herbert"
"Richard Bland",173,NA
"Antoine Rozner",174,"https://www.espn.com/golf/player/_/id/4407372/antoine-rozner"
"Zach Johnson",175,NA
"Elvis Smylie",176,NA
"Greyson Sigg",177,"https://www.espn.com/golf/player/_/id/11333/greyson-sigg"
"Joel Dahmen",178,"https://www.espn.com/golf/player/_/id/6196/joel-dahmen"
"Ben Silverman",179,"https://www.espn.com/golf/player/_/id/8910/ben-silverman"
"JC Ritchie",180,NA
"Tony Finau",181,"https://www.espn.com/golf/player/_/id/2230/tony-finau"
"Caleb Surratt",182,NA
"Brandt Snedeker",183,NA
"Ian Holt",184,NA
"Ben Martin",185,NA
"David Ford",186,NA
"Taylor Moore",187,"https://www.espn.com/golf/player/_/id/10664/taylor-moore"
"Eugenio Chacarra",188,"https://www.espn.com/golf/player/_/id/4565467/eugenio-chacarra"
"Neal Shipley",189,NA
"Grant Forrest",190,NA
"Jesper Svensson",191,"https://www.espn.com/golf/player/_/id/4699329/jesper-svensson"
"Taiga Semikawa",192,NA
"Stewart Cink",193,NA
"Emilio Gonzalez",194,NA
"Adam Svensson",195,"https://www.espn.com/golf/player/_/id/9127/adam-svensson"
"Dan Bradbury",196,"https://www.espn.com/golf/player/_/id/5081630/dan-bradbury"
"Anirban Lahiri",197,NA
"Brice Garnett",198,"https://www.espn.com/golf/player/_/id/2283/brice-garnett"
"Alex Fitzpatrick",199,"https://www.espn.com/golf/player/_/id/4364865/alex-fitzpatrick"
"David Lipsky",200,"https://www.espn.com/golf/player/_/id/6701/david-lipsky"
"Mitchell Meissner",201,NA
"Scott Vincent",202,NA
"Patton Kizzire",203,"https://www.espn.com/golf/player/_/id/3980/patton-kizzire"
"Dustin Johnson",204,"https://www.espn.com/golf/player/_/id/3448/dustin-johnson"
"Ben James",205,NA
"Cooper Dossey",206,NA
"Noah Goodwin",207,NA
"Marcel Schneider",208,NA
"Trevor Cone",209,NA
"Barend Botha",210,NA
"Francesco Laporta",211,NA
"Richard Lee",212,NA
"Kota Kaneko",213,NA
"Nate Lashley",214,NA
"Chan Kim",215,"https://www.espn.com/golf/player/_/id/5724/chan-kim"
"Francesco Molinari",216,NA
"Hank Lebioda",217,NA
"Luke Clanton",218,"https://www.espn.com/golf/player/_/id/5215039/luke-clanton"
"Aldrich Potgieter",219,"https://www.espn.com/golf/player/_/id/5080439/aldrich-potgieter"
"Davis Chatfield",220,NA
"Tom Vaillant",221,NA
"Taiki Yoshida",222,NA
"Mikael Lindberg",223,NA
"Zach Bauchou",224,NA
"Casey Jarvis",225,NA
"Trace Crowe",226,NA
"Carson Young",227,"https://www.espn.com/golf/player/_/id/11143/carson-young"
"Martin Couvra",228,NA
"Mikumu Horikawa",229,NA
"Ryo Hisatsune",230,"https://www.espn.com/golf/player/_/id/4858572/ryo-hisatsune"
"Niklas Norgaard",231,"https://www.espn.com/golf/player/_/id/4382434/niklas-n%C3%B8rgaard"
"S.Y. Noh",232,NA
"Lanto Griffin",233,NA
"Davis Riley",234,"https://www.espn.com/golf/player/_/id/10058/davis-riley"
"Karl Vilips",235,NA
"Ugo Coussaud",236,NA
"Joakim Lagergren",237,NA
"Blades Brown",238,NA
"Peter Uihlein",239,"https://www.espn.com/golf/player/_/id/1674/peter-uihlein"
"Adam Hadwin",240,"https://www.espn.com/golf/player/_/id/5548/adam-hadwin"
"Alejandro Del Rey",241,"https://www.espn.com/golf/player/_/id/11465/alejandro-del-rey"
"Erik Van Rooyen",242,"https://www.espn.com/golf/player/_/id/9364/erik-van-rooyen"
"Jason Kokrak",243,NA
"Andrea Pavan",244,NA
"Cameron Champ",245,NA
"Jacob Skov Olesen",246,NA
"Taylor Montgomery",247,NA
"Brandon Robinson Thompson",248,NA
"John VanDerLaan",249,NA
"Jackson Suber",250,NA
"Ignacio Elvira Mijares",251,NA
"Yanhan Zhou",252,NA
"Kazuki Higa",253,NA
"Ryosuke Kinoshita",254,NA
"Rafa Cabrera Bello",255,NA
"Quade Cummins",256,NA
"Calum Hill",257,NA
"Sadom Kaewkanjana",258,NA
"Henrik Norlander",259,"https://www.espn.com/golf/player/_/id/5573/henrik-norlander"
"Matthew Jordan",260,"https://www.espn.com/golf/player/_/id/4390719/matthew-jordan"
"Doc Redman",261,NA
"Caleb VanArragon",262,NA
"Richard Mansell",263,NA
"S.T. Lee",264,NA
"Dylan Menante",265,NA
"Jacques Kruyswijk",266,NA
"Miguel Tabuena",267,NA
"Sudarshan Yellamaraju",268,NA
"Shugo Imahira",269,NA
"Takashi Ogiso",270,NA
"Harold Varner III",271,NA
"John Pak",272,NA
"Steven Alker",273,NA
"Yusaku Hosono",274,NA
"Oihan Guillamoundeguy",275,NA
"Alexander Bjork",276,"https://www.espn.com/golf/player/_/id/9469/alexander-bjork"
"Matthieu Pavon",277,"https://www.espn.com/golf/player/_/id/10596/matthieu-pavon"
"Preston Stout",278,NA
"Will Gordon",279,NA
"Brandon Stone",280,NA
"Frederic LaCroix",281,NA
"Jeremy Paul",282,NA
"Richie Ramsay",283,NA
"Michael Johnson",284,NA
"Rikuya Hoshino",285,"https://www.espn.com/golf/player/_/id/4350033/rikuya-hoshino"
"Joseph Bramlett",286,NA
"Brian Campbell",287,"https://www.espn.com/golf/player/_/id/9525/brian-campbell"
"Paul Peterson",288,NA
"Isaiah Salinda",289,"https://www.espn.com/golf/player/_/id/4589406/isaiah-salinda"
"David Skinns",290,NA
"Jeffrey Kang",291,NA
"Romain Langasque",292,"https://www.espn.com/golf/player/_/id/10099/romain-langasque"
"Miles Russell",293,NA
"Todd Clements",294,NA
"Justin Lower",295,"https://www.espn.com/golf/player/_/id/9144/justin-lower"
"Manuel Elvira",296,NA
"Bernd Wiesberger",297,NA
"Rick Lamb",298,NA
"Joel Girrbach",299,NA
"Charley Hoffman",300,"https://www.espn.com/golf/player/_/id/205/charley-hoffman"
"Ben Taylor",301,NA
"Davis Lamb",302,NA
"Matteo Manassero",303,"https://www.espn.com/golf/player/_/id/4574/matteo-manassero"
"Trey Mullinax",304,NA
"Kensei Hirata",305,"https://www.espn.com/golf/player/_/id/5075548/kensei-hirata"
"Jonathan Byrd",306,NA
"Andreas Halvorsen",307,NA
"Julian Suri",308,NA
"Zander Lombard",309,NA
"Kazuma Kobori",310,NA
"Cole Sherwood",311,NA
"Hayden Buckley",312,NA
"Taihei Sato",313,NA
"Stefano Mazzoli",314,NA
"Bronson Burgoon",315,NA
"Ren Yonezawa",316,NA
"Nick Hardy",317,NA
"Wilson Furr",318,NA
"Davis Shore",319,NA
"Sam Bairstow",320,"https://www.espn.com/golf/player/_/id/4872728/sam-bairstow"
"Ben Schmidt",321,NA
"Nicolo Galletti",322,NA
"Adrian Meronk",323,"https://www.espn.com/golf/player/_/id/10839/adrian-meronk"
"Darius Van Driel",324,NA
"Harry Higgs",325,"https://www.espn.com/golf/player/_/id/4844/harry-higgs"
"Christo Lamprecht",326,"https://www.espn.com/golf/player/_/id/11395/christo-lamprecht"
"Brendan Steele",327,NA
"Richard Sterne",328,NA
"Nick Gabrelcik",329,NA
"Kieran Vincent",330,NA
"Taehoon Ok",331,NA
"Camilo Villegas",332,NA
"Martin Laird",333,NA
"Ryan Moore",334,NA
"Kevin Dougherty",335,NA
"Nathan Kimsey",336,NA
"Younghan Song",337,NA
"Ryo Ishikawa",338,NA
"Austin Hitt",339,NA
"Henrik Stenson",340,NA
"Jinho Choi",341,NA
"Tatsunori Shogenji",342,NA
"Joe Weiler",343,NA
"Jackson Van Paris",344,NA
"Curtis Luck",345,NA
"Gregorio De Leo",346,NA
"Danny Walker",347,NA
"Jazz Janewattananond",348,NA
"Phil Mickelson",349,NA
"Daniel Van Tonder",350,"https://www.espn.com/golf/player/_/id/5857/daniel-van-tonder"
"Cole Hammer",351,NA
"Niklas Lemke",352,NA
"Alejandro Tosti",353,"https://www.espn.com/golf/player/_/id/4358081/alejandro-tosti"
"Stuart Macdonald",354,NA
"Christian Maas",355,NA
"Justin Suh",356,NA
"Sean Crocker",357,NA
"Rattanon Wannasrichan",358,NA
"Kiradech Aphibarnrat",359,NA
"Justin Hastings",360,NA
"Ian Gilligan",361,NA
"Daniel Young",362,NA
"Johannes Veerman",363,"https://www.espn.com/golf/player/_/id/10186/johannes-veerman"
"Jack Senior",364,NA
"Ricardo Gouveia",365,NA
"Connor Syme",366,NA
"Chris Francoeur",367,NA
"Alvaro Ortiz",368,NA
"Sandy Scott",369,NA
"Luke List",370,"https://www.espn.com/golf/player/_/id/1059/luke-list"
"Graeme McDowell",371,NA
"Alistair Docherty",372,NA
"Andrew Johnston",373,NA
"Yuta Sugiura",374,NA
"Davis Bryant",375,NA
"Daniel Summerhays",376,NA
"Riki Kawamoto",377,NA
"Sang-hee Lee",378,NA
"Jeff Winther",379,NA
"Nick Dunlap",380,"https://www.espn.com/golf/player/_/id/4832046/nick-dunlap"
"Adrian Otaegui",381,NA
"Nicolai Von Dellingshausen",382,NA
"Scott Jamieson",383,NA
"Wesley Bryan",384,"https://www.espn.com/golf/player/_/id/10360/wesley-bryan"
"Matt Atkins",385,NA
"Troy Merritt",386,NA
"Will Cannon",387,NA
"Adam Schenk",388,"https://www.espn.com/golf/player/_/id/10372/adam-schenk"
"Yuto Katsuragawa",389,NA
"Ernie Els",390,NA
"Shaun Norris",391,"https://www.espn.com/golf/player/_/id/5057/shaun-norris"
"Cam Davis",392,NA
"Roger Sloan",393,NA
"Tom Whitney",394,NA
"Eddie Pepperell",395,NA
"Hugo Townsend",396,NA
"Jack Maguire",397,NA
"Logan McAllister",398,NA
"Kevin Streelman",399,NA
"Tommy Morrison",400,NA
"Aaron Cockerill",401,NA
"Robby Shelton",402,NA
"Jorge Fernandez Valdes",403,NA
"Trav Smyth",404,NA
"Sarit Suwannarut",405,NA
"Russell Knox",406,NA
"Ashun Wu",407,NA
"Trey Winstead",408,NA
"Jackson Buchanan",409,NA
"Pontus Nyholm",410,NA
"Marcelo Rozo",411,NA
"Guido Migliozzi",412,"https://www.espn.com/golf/player/_/id/9474/guido-migliozzi"
"Max Rottluff",413,NA
"Ryutaro Nagano",414,NA
"Martin Kaymer",415,NA
"Ross Steelman",416,NA
"Sebastian Soderberg",417,"https://www.espn.com/golf/player/_/id/9494/sebastian-soderberg"
"Minhyuk Song",418,NA
"James Nicholas",419,NA
"Wei-Hsuan Wang",420,NA
"Frankie Capan III",421,NA
"Jack McDonald",422,NA
"Ben Campbell",423,"https://www.espn.com/golf/player/_/id/7011/ben-campbell"
"Dylan Frittelli",424,NA
"Mahanth Chirravuri",425,NA
"Poom Saksansin",426,NA
"Tyler Duncan",427,NA
"Alexander Levy",428,NA
"Mason Andersen",429,NA
"Joe Highsmith",430,"https://www.espn.com/golf/player/_/id/4868733/joe-highsmith"
"Peter Malnati",431,NA
"Derek Hitchner",432,NA
"Jason Scrivener",433,NA
"Tomohiro Ishizaka",434,NA
"Michael Hollick",435,NA
"A.J. Ewart",436,NA
"Jase Summy",437,NA
"Shad Tuten",438,NA
"Jeremy Gandon",439,NA
"Jay Card III",440,NA
"Kevin Velo",441,NA
"Angel Hidalgo Portillo",442,NA
"Petr Hruby",443,NA
"John Catlin",444,"https://www.espn.com/golf/player/_/id/10687/john-catlin"
"Tim Widing",445,"https://www.espn.com/golf/player/_/id/4375973/tim-widing"
"Suteepat Prateeptienchai",446,NA
"Lukas Nemecz",447,NA
"Sam Horsfield",448,NA
"Marcel Siem",449,NA
"Sampson Zheng",450,NA
"Peter Kuest",451,NA
"Cameron John",452,NA
"Austen Truslow",453,NA
"Junghwan Lee",454,NA
"Jinichiro Kozuma",455,NA
"Phichaksn Maichon",456,NA
"Yongjun Bae",457,NA
"Brendan Valdes",458,NA
"Anthony Quayle",459,NA
"Yuvraj Singh Sandhu",460,NA
"Per Langfors",461,NA
"David Law",462,NA
"James Piot",463,NA
"Andrew Wilson",464,NA
"Tyler Watts",465,NA
"Zach James",466,NA
"Taylor Dickson",467,"https://www.espn.com/golf/player/_/id/4610386/taylor-dickson"
"Paul Waring",468,"https://www.espn.com/golf/player/_/id/3474/paul-waring"
"Jaco Ahlers",469,NA
"Veer Ahlawat",470,NA
"Bjorn Hellgren",471,NA
"Kevin Yuan",472,NA
"Baekjun Kim",473,NA
"Jeunghun Wang",474,NA
"Tripp Kinney",475,NA
"Fabian Gomez",476,NA
"Taichi Kho",477,NA
"Rayhan Thomas",478,NA
"Austin Greaser",479,NA
"Harrison Endycott",480,NA
"Matt Jones",481,NA
"Cameron Percy",482,NA
"K.H. Lee",483,NA
"Braden Thornberry",484,NA
"Connor Graham",485,NA
"Brett White",486,NA
"Sebastian Cappelen",487,NA
"Brandon Wu",488,NA
"Filip Jakubcik",489,NA
"Hiroshi Iwata",490,NA
"Ethan Fang",491,NA
"Andy Ogletree",492,NA
"Lee Westwood",493,NA
"Patrick Newcomb",494,NA
"Tapio Pulkkanen",495,NA
"Chesson Hadley",496,NA
"Brendon Doyle",497,NA
"Ryo Katsumata",498,NA
"Wil Bateman",499,NA
"Myles Creighton",500,NA
