"player_name"
"Felix Mory"
"Filippo Celli"
"Sandy Scott"
"Conor Purcell"
"Patrick Welch"
"Ross Fisher"
"Jonathan Byrd"
"Tatsunori Shogenji"
"Jack Senior"
"Sangmoon Bae"
"Yuki Inamori"
"Jeong Weon Ko"
"Phil Mickelson"
"Gunn Charoenkul"
"Zheng Sampson Yunhe"
"Augusto Nunez"
"Cole Sherwood"
"Jeunghun Wang"
"Jacques Blaauw"
