"name","dg_rank"
"Barend Botha",210
"Francesco Laporta",211
"Richard Lee",212
"Kota Kaneko",213
"Nate Lashley",214
"Chan Kim",215
"Francesco Molinari",216
"Hank Lebioda",217
"Luke Clanton",218
"Aldrich Potgieter",219
"Davis Chatfield",220
"Tom Vaillant",221
"Taiki Yoshida",222
"Mikael Lindberg",223
"Zach Bauchou",224
"Casey Jarvis",225
"Trace Crowe",226
"Carson Young",227
"Martin Couvra",228
"Mikumu Horikawa",229
"Ryo Hisatsune",230
"Niklas Norgaard",231
"S.Y. Noh",232
"Lanto Griffin",233
"Davis Riley",234
"Karl Vilips",235
"Ugo Coussaud",236
"Joakim Lagergren",237
"Blades Brown",238
"Peter Uihlein",239
"Adam Hadwin",240
"Alejandro Del Rey",241
"Erik Van Rooyen",242
"Jason Kokrak",243
"Andrea Pavan",244
"Cameron Champ",245
"Jacob Skov Olesen",246
"Taylor Montgomery",247
"Brandon Robinson Thompson",248
"John VanDerLaan",249
"Jackson Suber",250
"Ignacio Elvira Mijares",251
"Yanhan Zhou",252
"Kazuki Higa",253
"Ryosuke Kinoshita",254
"Rafa Cabrera Bello",255
"Quade Cummins",256
"Calum Hill",257
"Sadom Kaewkanjana",258
"Henrik Norlander",259
"Matthew Jordan",260
"Doc Redman",261
"Caleb VanArragon",262
"Richard Mansell",263
"S.T. Lee",264
"Dylan Menante",265
"Jacques Kruyswijk",266
"Miguel Tabuena",267
"Sudarshan Yellamaraju",268
"Shugo Imahira",269
"Takashi Ogiso",270
"Harold Varner III",271
"John Pak",272
"Steven Alker",273
"Yusaku Hosono",274
"Oihan Guillamoundeguy",275
"Alexander Bjork",276
"Matthieu Pavon",277
"Preston Stout",278
"Will Gordon",279
"Brandon Stone",280
"Frederic LaCroix",281
"Jeremy Paul",282
"Richie Ramsay",283
"Michael Johnson",284
"Rikuya Hoshino",285
"Joseph Bramlett",286
"Brian Campbell",287
"Paul Peterson",288
"Isaiah Salinda",289
"David Skinns",290
"Jeffrey Kang",291
"Romain Langasque",292
"Miles Russell",293
"Todd Clements",294
"Justin Lower",295
"Manuel Elvira",296
"Bernd Wiesberger",297
"Rick Lamb",298
"Joel Girrbach",299
"Charley Hoffman",300
"Ben Taylor",301
"Davis Lamb",302
"Matteo Manassero",303
"Trey Mullinax",304
"Kensei Hirata",305
"Jonathan Byrd",306
"Andreas Halvorsen",307
"Julian Suri",308
"Zander Lombard",309
"Kazuma Kobori",310
"Cole Sherwood",311
"Hayden Buckley",312
"Taihei Sato",313
"Stefano Mazzoli",314
"Bronson Burgoon",315
"Ren Yonezawa",316
"Nick Hardy",317
"Wilson Furr",318
"Davis Shore",319
"Sam Bairstow",320
"Ben Schmidt",321
"Nicolo Galletti",322
"Adrian Meronk",323
"Darius Van Driel",324
"Harry Higgs",325
"Christo Lamprecht",326
"Brendan Steele",327
"Richard Sterne",328
"Nick Gabrelcik",329
"Kieran Vincent",330
"Taehoon Ok",331
"Camilo Villegas",332
"Martin Laird",333
"Ryan Moore",334
"Kevin Dougherty",335
"Nathan Kimsey",336
"Younghan Song",337
"Ryo Ishikawa",338
"Austin Hitt",339
"Henrik Stenson",340
"Jinho Choi",341
"Tatsunori Shogenji",342
"Joe Weiler",343
"Jackson Van Paris",344
"Curtis Luck",345
"Gregorio De Leo",346
"Danny Walker",347
"Jazz Janewattananond",348
"Phil Mickelson",349
"Daniel Van Tonder",350
"Cole Hammer",351
"Niklas Lemke",352
"Alejandro Tosti",353
"Stuart Macdonald",354
"Christian Maas",355
"Justin Suh",356
"Sean Crocker",357
"Rattanon Wannasrichan",358
"Kiradech Aphibarnrat",359
"Justin Hastings",360
"Ian Gilligan",361
"Daniel Young",362
"Johannes Veerman",363
"Jack Senior",364
"Ricardo Gouveia",365
"Connor Syme",366
"Chris Francoeur",367
"Alvaro Ortiz",368
"Sandy Scott",369
"Luke List",370
"Graeme McDowell",371
"Alistair Docherty",372
"Andrew Johnston",373
"Yuta Sugiura",374
"Davis Bryant",375
"Daniel Summerhays",376
"Riki Kawamoto",377
"Sang-hee Lee",378
"Jeff Winther",379
"Nick Dunlap",380
"Adrian Otaegui",381
"Nicolai Von Dellingshausen",382
"Scott Jamieson",383
"Wesley Bryan",384
"Matt Atkins",385
"Troy Merritt",386
"Will Cannon",387
"Adam Schenk",388
"Yuto Katsuragawa",389
"Ernie Els",390
"Shaun Norris",391
"Cam Davis",392
"Roger Sloan",393
"Tom Whitney",394
"Eddie Pepperell",395
"Hugo Townsend",396
"Jack Maguire",397
"Logan McAllister",398
"Kevin Streelman",399
"Tommy Morrison",400
"Aaron Cockerill",401
"Robby Shelton",402
"Jorge Fernandez Valdes",403
"Trav Smyth",404
"Sarit Suwannarut",405
"Russell Knox",406
"Ashun Wu",407
"Trey Winstead",408
"Jackson Buchanan",409
"Pontus Nyholm",410
"Marcelo Rozo",411
"Guido Migliozzi",412
"Max Rottluff",413
"Ryutaro Nagano",414
"Martin Kaymer",415
"Ross Steelman",416
"Sebastian Soderberg",417
"Minhyuk Song",418
"James Nicholas",419
"Wei-Hsuan Wang",420
"Frankie Capan III",421
"Jack McDonald",422
"Ben Campbell",423
"Dylan Frittelli",424
"Mahanth Chirravuri",425
"Poom Saksansin",426
"Tyler Duncan",427
"Alexander Levy",428
"Mason Andersen",429
"Joe Highsmith",430
"Peter Malnati",431
"Derek Hitchner",432
"Jason Scrivener",433
"Tomohiro Ishizaka",434
"Michael Hollick",435
"A.J. Ewart",436
"Jase Summy",437
"Shad Tuten",438
"Jeremy Gandon",439
"Jay Card III",440
"Kevin Velo",441
"Angel Hidalgo Portillo",442
"Petr Hruby",443
"John Catlin",444
"Tim Widing",445
"Suteepat Prateeptienchai",446
"Lukas Nemecz",447
"Sam Horsfield",448
"Marcel Siem",449
"Sampson Zheng",450
"Peter Kuest",451
"Cameron John",452
"Austen Truslow",453
"Junghwan Lee",454
"Jinichiro Kozuma",455
"Phichaksn Maichon",456
"Yongjun Bae",457
"Brendan Valdes",458
"Anthony Quayle",459
"Yuvraj Singh Sandhu",460
"Per Langfors",461
"David Law",462
"James Piot",463
"Andrew Wilson",464
"Tyler Watts",465
"Zach James",466
"Taylor Dickson",467
"Paul Waring",468
"Jaco Ahlers",469
"Veer Ahlawat",470
"Bjorn Hellgren",471
"Kevin Yuan",472
"Baekjun Kim",473
"Jeunghun Wang",474
"Tripp Kinney",475
"Fabian Gomez",476
"Taichi Kho",477
"Rayhan Thomas",478
"Austin Greaser",479
"Harrison Endycott",480
"Matt Jones",481
"Cameron Percy",482
"K.H. Lee",483
"Braden Thornberry",484
"Connor Graham",485
"Brett White",486
"Sebastian Cappelen",487
"Brandon Wu",488
"Filip Jakubcik",489
"Hiroshi Iwata",490
"Ethan Fang",491
"Andy Ogletree",492
"Lee Westwood",493
"Patrick Newcomb",494
"Tapio Pulkkanen",495
"Chesson Hadley",496
"Brendon Doyle",497
"Ryo Katsumata",498
"Wil Bateman",499
"Myles Creighton",500
